Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2014,120,13997,Coby Fleener,IND,875604.00,TE,3,0,0,0,0,0,7,97,0,0,0,0,0,3.2,9.7
2021,1702,20314,Codey McElroy,TB,58235.00,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,378,21025,Cody Barton,SEA,675000.00,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,1205,15208,Cody Davis,NE,2500000.00,SS,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12
2017,278,15208,Cody Davis,LAR,1761111.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2015,251,16278,Cody Latimer,DEN,588575.00,WR,3,0,0,0,0,0,3,31,0,0,0,0,0,1,3.1
2020,73,16236,Cody Parkey,CLE,951600.00,K,2,0,0,0,0,0,0,0,0,0,0,0,0,8.5,17
2018,135,16236,Cody Parkey,CHI,5500000.00,K,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2021,411,14141,Cole Beasley,BUF,5870576.00,WR,16,0,0,0,0,0,82,693,1,0,0,0,0,4.8,77.3
2020,94,14141,Cole Beasley,BUF,5638238.00,WR,3,0,0,0,0,0,14,145,0,0,0,0,0,4.8,14.5
2019,213,14141,Cole Beasley,BUF,11395717.00,WR,1,0,0,0,0,0,4,44,0,0,0,0,0,4.4,4.4
